epoch,loss_D,loss_G
1,0.4125974178314209,0.16284148395061493
2,-2.8589353561401367,1.744143009185791
3,-3.890110969543457,2.1164064407348633
4,-3.8551623821258545,2.739665985107422
5,-4.187909126281738,3.6796765327453613
6,-4.339217662811279,1.9369406700134277
7,-3.972881317138672,1.9053400754928589
8,-3.635148525238037,1.9948081970214844
9,-2.498048782348633,3.1477253437042236
10,-1.9287993907928467,5.666678428649902
11,-2.6210713386535645,6.178780555725098
12,-2.830986261367798,6.132582187652588
13,-2.9944074153900146,8.163307189941406
14,-3.0739710330963135,8.885841369628906
15,-2.971092700958252,8.315107345581055
16,-3.660708427429199,8.899410247802734
17,-3.1597375869750977,9.10122299194336
18,-2.69368314743042,9.453885078430176
19,-2.590080738067627,10.167044639587402
20,-2.226388454437256,10.763570785522461
21,-2.3435471057891846,10.315109252929688
22,-2.0708909034729004,12.417654991149902
23,-2.2085635662078857,12.475139617919922
24,-2.0539753437042236,13.075692176818848
25,-2.0142180919647217,12.91223430633545
26,-1.6411336660385132,13.315372467041016
27,-1.6941120624542236,13.116421699523926
28,-1.9085557460784912,12.746213912963867
29,-1.7806004285812378,13.33115005493164
30,-2.199881076812744,12.902761459350586
31,-2.1134138107299805,13.418651580810547
32,-2.1283106803894043,12.70020580291748
33,-2.1939504146575928,13.81191349029541
34,-1.9706165790557861,13.457929611206055
35,-1.5384786128997803,13.34455394744873
36,-2.1545827388763428,14.049312591552734
37,-2.2499136924743652,14.61431884765625
38,-2.049697160720825,13.681422233581543
39,-2.2212908267974854,14.055207252502441
40,-2.022569179534912,15.023035049438477
41,-1.9956332445144653,14.461858749389648
42,-2.3018171787261963,14.457804679870605
43,-2.2842657566070557,15.273641586303711
44,-2.2983317375183105,14.287988662719727
45,-2.5167980194091797,15.302024841308594
46,-2.319204330444336,16.10885238647461
47,-2.4377427101135254,15.456575393676758
48,-2.2243752479553223,16.214431762695312
49,-2.5034737586975098,16.58570098876953
50,-2.343501567840576,15.777716636657715
51,-1.7426261901855469,16.116806030273438
52,-2.7505698204040527,16.771440505981445
53,-2.7003836631774902,16.783504486083984
54,-2.144700527191162,16.893726348876953
55,-2.814519166946411,16.972347259521484
56,-1.878801703453064,17.122819900512695
57,-3.1040358543395996,17.673994064331055
58,-2.3667733669281006,16.607778549194336
59,-2.5167534351348877,17.484054565429688
60,-1.9939048290252686,17.71796417236328
61,-2.827579975128174,17.446975708007812
62,-2.5783233642578125,18.27642059326172
63,-2.2804737091064453,17.416439056396484
64,-3.1947712898254395,17.810298919677734
65,-2.8758630752563477,18.07396697998047
66,-2.755809783935547,17.963016510009766
67,-2.5036158561706543,16.827064514160156
68,-2.9812209606170654,17.111696243286133
69,-3.0699734687805176,17.978275299072266
70,-2.961735248565674,17.114158630371094
71,-3.092496633529663,17.963701248168945
72,-3.1280570030212402,17.868698120117188
73,-2.9441137313842773,18.562671661376953
74,-3.0838046073913574,18.14871597290039
75,-2.9297800064086914,17.720705032348633
76,-2.901670455932617,18.10352325439453
77,-3.2758684158325195,18.28693389892578
78,-2.4827780723571777,17.91928482055664
79,-3.474240303039551,17.552993774414062
80,-3.0927844047546387,17.31299591064453
81,-3.1003494262695312,18.19550323486328
82,-3.3852384090423584,18.799415588378906
83,-3.0777132511138916,18.933563232421875
84,-3.2171740531921387,19.055538177490234
85,-3.4238369464874268,18.024917602539062
86,-3.1901707649230957,18.78180694580078
87,-3.067938804626465,19.04572296142578
88,-3.5330777168273926,18.991945266723633
89,-3.0966153144836426,18.463029861450195
90,-3.182349920272827,18.48621368408203
91,-3.5362911224365234,18.750930786132812
92,-3.176778793334961,19.40019989013672
93,-3.401561737060547,18.960948944091797
94,-2.4874496459960938,18.51375961303711
95,-2.9656429290771484,18.993459701538086
96,-2.997368335723877,19.118019104003906
97,-2.9390735626220703,18.849395751953125
98,-3.5381178855895996,18.772682189941406
99,-4.383779525756836,19.60861587524414
100,-3.5030970573425293,19.176652908325195
101,-2.989060401916504,18.981170654296875
102,-2.345637559890747,18.578147888183594
103,-3.2305500507354736,20.36436653137207
104,2.9328970909118652,21.923236846923828
105,-3.1652989387512207,19.49156951904297
106,-3.3882107734680176,20.471181869506836
107,-4.164217472076416,19.699676513671875
108,-3.25056529045105,19.229829788208008
109,-3.553548812866211,20.400314331054688
110,-3.4157440662384033,19.82428741455078
111,-3.281372547149658,20.339324951171875
112,-3.7465004920959473,19.93191146850586
113,-3.1997857093811035,20.534135818481445
114,-3.801342487335205,19.701522827148438
115,-3.6511900424957275,19.64682388305664
116,-2.896195411682129,20.368314743041992
117,-3.565946340560913,20.67317771911621
118,-3.220242738723755,20.201629638671875
119,-3.6104300022125244,20.439197540283203
120,-3.0951621532440186,20.76299285888672
121,-4.018891334533691,20.569772720336914
122,-3.6844916343688965,21.032331466674805
123,-3.3914706707000732,20.142539978027344
124,-3.5097343921661377,20.29033660888672
125,-3.5657711029052734,20.44076156616211
126,-3.523704767227173,20.281063079833984
127,-3.408205509185791,20.471601486206055
128,-3.7770779132843018,19.681926727294922
129,-3.98598313331604,19.94942855834961
130,-4.4416093826293945,21.103801727294922
131,-3.548562526702881,20.53404998779297
132,-4.159585952758789,20.677759170532227
133,-3.985558271408081,20.848434448242188
134,-3.4768362045288086,20.52100372314453
135,-3.716250419616699,20.348453521728516
136,-4.0216522216796875,20.41916275024414
137,-4.010788917541504,21.103008270263672
138,-3.6224265098571777,20.981863021850586
139,-4.02352237701416,21.398178100585938
140,-3.902358293533325,21.13405990600586
141,-3.4699530601501465,19.393695831298828
142,-3.878067970275879,21.335350036621094
143,-3.7429373264312744,21.380001068115234
144,-3.932772636413574,20.96987533569336
145,-4.074901103973389,21.336788177490234
