serie,mean,std,skew,kurt_excess,sharpe_ann,vol_ann,VaR_95,VaR_99,autocorr_lag1,LBQ_p_r2_lag10,max_drawdown,CAGR,KS_statistic,KS_pvalue
Réel (test),0.0004756262933369726,0.012720471248030663,-0.6301393508911133,14.638681411743164,0.5935576836417618,0.20193122089101934,-0.018567724153399467,-0.03525819629430771,-0.15573781268864345,0.0,-0.3392495637426869,0.12952709197998047,0.11594202898550725,6.411441728199873e-11
Synthétique (vol médiane),0.00017164209566544741,0.006494177971035242,-0.19025638699531555,0.9504501819610596,0.4195656319264835,0.10309187928691965,-0.010741491802036762,-0.017781095579266548,0.008898351543379883,4.1021624177647664e-05,-0.12117581715995995,0.0427553653717041,0.11594202898550725,6.411441728199873e-11
